,vpsu,vstrat,mar1,mar2,adults,age,attend,babies,bible,blkwhite,born,cappun,childs,class,cohort,comprend,coninc,coop,courts,dateintv,degree,dwelling,earnrs,educ,eth1,ethnic,ethnum,famgen,family16,feeused,finalter,finrela,form,formwt,fund,fund16,gender1,gender2,god,granborn,happy,health,hefinfo,hhrace,hhtype,hhtype1,hispanic,hompop,id,incom16,income,income06,indus80,intage,intethn,inthisp,intrace1,intsex,intyrs,isco681,isco88,lngthinv,marital,mobile16,mode,natpark,natroad,natsoc,occ80,old1,old2,othlang,oversamp,parborn,partyid,permoral,phone,polviews,pray,prestg80,preteen,punsin,race,racecen1,raclive,realinc,reborn,reg16,region,relactiv,relate1,relate2,relexp,relexper,relhh1,relhh2,relhhd1,relhhd2,relig,relig16,reliten,rellife,relpersn,res16,respnum,rotapple,rplace,rvisitor,sampcode,sample,satfin,savesoul,sei,sex,sibs,size,spaneng,sprtprsn,srcbelt,teens,trust,union,unrelat,version,visitors,vote04,weekswrk,whoelse1,whoelse2,whoelse3,whoelse4,whoelse5,whoelse6,widowed,wksub,wksup,wrkgovt,wrkslf,wrkstat,wtss,wtssall,wtssnr,xnorcsiz,year,zodiac
0,1.0,1957.0,5.0,5.0,1.0,50.0,7.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,1956.0,2.0,28668.0,2.0,2.0,316.0,1.0,3.0,1.0,13.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,6.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,12.0,16.0,832.0,42.0,3.0,15.0,16.0,2.0,0.40000000596046448,710.0,2230.0,161.0,5.0,3.0,1.0,1.0,2.0,1.0,95.0,50.0,16.0,1.0,1.0,8.0,0.0,2.0,3.0,1.0,2.0,66.0,0.0,4.0,2.0,2.0,2.0,18476.25,1.0,0.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,41.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,501.0,9.0,2.0,1.0,73.199996948242188,2.0,1.0,8008.0,1.0,1.0,1.0,2.0,2.0,1.0,,6.0,0.0,1.0,52.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,0.43000000715255737,0.42969998717308044,0.49000000953674316,1.0,2006.0,
1,1.0,1957.0,1.0,1.0,2.0,27.0,0.0,0.0,,1.0,2.0,1.0,1.0,2.0,1979.0,2.0,72774.0,3.0,1.0,630.0,1.0,5.0,1.0,14.0,38.0,38.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0,1.0,,1.0,2.0,5.0,8.0,15.0,2.0,2.0,3.0,12.0,21.0,560.0,57.0,1.0,1.0,1.0,2.0,11.800000190734863,4210.0,1314.0,98.0,5.0,1.0,1.0,2.0,2.0,1.0,243.0,24.0,26.0,1.0,1.0,8.0,4.0,,6.0,3.0,,44.0,0.0,,3.0,16.0,1.0,46901.25,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,3.0,6.0,2.0,3.0,2.0,1.0,501.0,9.0,2.0,2.0,50.700000762939453,1.0,5.0,8008.0,1.0,3.0,1.0,0.0,2.0,4.0,0.0,5.0,0.0,3.0,52.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,1.0,1.9099999666213989,1.9096000194549561,2.1600000858306885,1.0,2006.0,5.0
2,1.0,1957.0,3.0,4.0,2.0,67.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,3.0,1939.0,2.0,,1.0,3.0,314.0,0.0,3.0,1.0,9.0,22.0,22.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,4.0,2.0,,2.0,5.0,11.0,3.0,3.0,2.0,3.0,3.0,,,352.0,42.0,3.0,15.0,16.0,2.0,0.40000000596046448,8340.0,8211.0,85.0,3.0,1.0,1.0,1.0,2.0,1.0,715.0,66.0,48.0,,1.0,8.0,0.0,2.0,3.0,6.0,3.0,29.0,0.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,41.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,501.0,9.0,1.0,2.0,35.700000762939453,2.0,10.0,8008.0,2.0,3.0,1.0,0.0,2.0,4.0,,5.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,2.0,2.0,5.0,0.86000001430511475,0.85930001735687256,0.97000002861022949,1.0,2006.0,5.0
3,1.0,1957.0,5.0,,1.0,50.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1956.0,1.0,39695.0,1.0,3.0,313.0,1.0,3.0,1.0,12.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,,6.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,3.0,12.0,18.0,60.0,42.0,3.0,15.0,16.0,2.0,0.40000000596046448,3211.0,4115.0,145.0,5.0,1.0,1.0,1.0,2.0,2.0,313.0,50.0,,2.0,1.0,0.0,0.0,,3.0,3.0,3.0,46.0,0.0,4.0,2.0,2.0,2.0,25582.5,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,501.0,9.0,2.0,1.0,38.400001525878906,2.0,3.0,8008.0,1.0,1.0,1.0,0.0,3.0,,,1.0,0.0,1.0,10.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,0.43000000715255737,0.42969998717308044,0.49000000953674316,1.0,2006.0,7.0
4,1.0,1957.0,1.0,1.0,3.0,20.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,3.0,1986.0,1.0,,1.0,1.0,322.0,1.0,3.0,2.0,14.0,22.0,22.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,5.0,41.0,1.0,3.0,3.0,5.0,3.0,,,,42.0,3.0,15.0,16.0,2.0,0.40000000596046448,,,80.0,5.0,1.0,1.0,1.0,2.0,2.0,,59.0,60.0,1.0,1.0,8.0,0.0,2.0,3.0,2.0,1.0,,0.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,6.0,3.0,1.0,3.0,1.0,501.0,9.0,1.0,2.0,,1.0,4.0,8008.0,1.0,2.0,1.0,0.0,2.0,,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,6.0,1.2899999618530273,1.2890000343322754,1.4600000381469727,1.0,2006.0,10.0
5,1.0,1957.0,1.0,1.0,2.0,35.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1971.0,1.0,33079.0,2.0,3.0,709.0,3.0,4.0,2.0,16.0,29.0,29.0,1.0,2.0,5.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,,2.0,2.0,4.0,11.0,1.0,4.0,6.0,3.0,12.0,17.0,711.0,57.0,1.0,1.0,1.0,2.0,11.800000190734863,4432.0,3417.0,103.0,1.0,1.0,1.0,1.0,2.0,1.0,375.0,44.0,35.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,47.0,0.0,,3.0,3.0,1.0,21318.75,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,501.0,9.0,3.0,2.0,54.700000762939453,2.0,0.0,8008.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,52.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.9099999666213989,1.9096000194549561,2.1600000858306885,1.0,2006.0,12.0
6,1.0,1957.0,2.0,,1.0,29.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1977.0,1.0,,3.0,,610.0,1.0,4.0,1.0,12.0,39.0,39.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,7.0,,,,831.0,57.0,1.0,1.0,1.0,2.0,11.800000190734863,5999.0,5132.0,95.0,2.0,3.0,1.0,,3.0,,447.0,28.0,5.0,2.0,1.0,8.0,3.0,,2.0,,2.0,42.0,0.0,,2.0,2.0,2.0,,2.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,41.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,,1.0,1.0,501.0,9.0,2.0,2.0,29.299999237060547,2.0,5.0,8008.0,1.0,,1.0,0.0,2.0,4.0,0.0,3.0,0.0,3.0,52.0,1.0,2.0,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,1.0,0.94999998807907104,0.95480000972747803,1.0800000429153442,1.0,2006.0,
7,2.0,1957.0,2.0,4.0,3.0,32.0,4.0,0.0,,,,,0.0,,1974.0,1.0,48516.0,1.0,,324.0,2.0,8.0,2.0,14.0,22.0,1.0,2.0,2.0,,3.0,,,1.0,1.0,,,2.0,1.0,,,,3.0,2.0,5.0,33.0,8.0,3.0,3.0,8.0,,12.0,19.0,871.0,42.0,3.0,15.0,2.0,2.0,0.40000000596046448,1939.0,2446.0,116.0,5.0,,1.0,,,,174.0,53.0,31.0,,1.0,,0.0,,3.0,4.0,,52.0,0.0,,2.0,2.0,,31267.5,,2.0,2.0,,1.0,3.0,,,1.0,41.0,1.0,4.0,11.0,,1.0,,,,2.0,,3.0,1.0,501.0,9.0,,,69.199996948242188,2.0,,8008.0,1.0,,1.0,0.0,2.0,4.0,0.0,7.0,0.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,,,,2.0,2.0,4.0,1.2899999618530273,1.2890000343322754,1.4600000381469727,1.0,2006.0,5.0
8,2.0,1957.0,5.0,,1.0,23.0,0.0,0.0,,1.0,1.0,1.0,0.0,3.0,1983.0,1.0,39695.0,1.0,,709.0,3.0,6.0,1.0,16.0,28.0,28.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,,,4.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,9.0,4.0,12.0,18.0,800.0,57.0,1.0,1.0,1.0,2.0,11.800000190734863,3951.0,4190.0,77.0,5.0,1.0,1.0,2.0,2.0,1.0,336.0,23.0,,2.0,1.0,8.0,0.0,,2.0,6.0,,31.0,0.0,4.0,2.0,2.0,1.0,25582.5,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,4.0,2.0,4.0,,4.0,6.0,1.0,4.0,1.0,1.0,501.0,9.0,2.0,2.0,39.0,2.0,0.0,8008.0,1.0,4.0,1.0,0.0,2.0,4.0,,3.0,0.0,1.0,52.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,0.43000000715255737,0.42969998717308044,0.49000000953674316,1.0,2006.0,9.0
9,2.0,1957.0,5.0,5.0,2.0,32.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,1974.0,1.0,,3.0,3.0,630.0,4.0,8.0,2.0,18.0,22.0,22.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,6.0,0.0,1.0,3.0,1.0,1.0,8.0,15.0,3.0,4.0,10.0,2.0,,,842.0,57.0,1.0,1.0,1.0,2.0,11.800000190734863,1320.0,2321.0,63.0,5.0,1.0,1.0,1.0,1.0,1.0,157.0,32.0,32.0,2.0,1.0,0.0,1.0,,3.0,3.0,2.0,66.0,2.0,,3.0,16.0,1.0,,2.0,2.0,2.0,1.0,1.0,8.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,501.0,9.0,1.0,2.0,80.300003051757812,2.0,3.0,8008.0,1.0,3.0,1.0,0.0,,,0.0,4.0,0.0,1.0,52.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,0.86000001430511475,0.85930001735687256,0.97000002861022949,1.0,2006.0,3.0
