,vpsu,vstrat,mar1,mar2,adults,age,attend,babies,bible,blkwhite,born,cappun,childs,class,cohort,comprend,coninc,coop,courts,dateintv,degree,dwelling,earnrs,educ,eth1,ethnic,ethnum,famgen,family16,feeused,finalter,finrela,form,formwt,fund,fund16,gender1,gender2,god,granborn,happy,health,hefinfo,hhrace,hhtype,hhtype1,hispanic,hompop,id,incom16,income,income06,indus80,intage,intethn,inthisp,intrace1,intsex,intyrs,isco681,isco88,lngthinv,marital,mobile16,mode,natpark,natroad,natsoc,occ80,old1,old2,othlang,oversamp,parborn,partyid,permoral,phone,polviews,pray,prestg80,preteen,punsin,race,racecen1,raclive,realinc,reborn,reg16,region,relactiv,relate1,relate2,relexp,relexper,relhh1,relhh2,relhhd1,relhhd2,relig,relig16,reliten,rellife,relpersn,res16,respnum,rotapple,rplace,rvisitor,sampcode,sample,satfin,savesoul,sei,sex,sibs,size,spaneng,sprtprsn,srcbelt,teens,trust,union,unrelat,version,visitors,vote04,weekswrk,whoelse1,whoelse2,whoelse3,whoelse4,whoelse5,whoelse6,widowed,wksub,wksup,wrkgovt,wrkslf,wrkstat,wtss,wtssall,wtssnr,xnorcsiz,year,zodiac
32,1.0,2245.0,2.0,,1.0,75.0,2.0,0.0,,1.0,1.0,,0.0,3.0,1935.0,2.0,,2.0,,721.0,2.0,8.0,0.0,15.0,12.0,12.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,,2.0,4.0,3.0,,1.0,1.0,1.0,4.0,1.0,1.0,33.0,4.0,,,421.0,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,900.0,2441.0,122.0,2.0,3.0,2.0,2.0,1.0,2.0,166.0,74.0,,1.0,1.0,8.0,0.0,2.0,3.0,4.0,6.0,63.0,0.0,4.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,10.0,10.0,,3.0,4.0,3.0,1.0,,1.0,1.0,501.0,9.0,2.0,2.0,84.699996948242188,1.0,4.0,8008.0,1.0,2.0,1.0,0.0,,,,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,2.0,2.0,5.0,0.84205031394958496,0.84205031394958496,0.87061166763305664,1.0,2010.0,3.0
33,1.0,2245.0,1.0,1.0,2.0,78.0,7.0,0.0,2.0,1.0,1.0,,0.0,3.0,1932.0,1.0,,1.0,2.0,517.0,3.0,8.0,1.0,16.0,14.0,14.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,34.0,3.0,,,421.0,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,5990.0,9152.0,77.0,1.0,3.0,2.0,2.0,1.0,,465.0,78.0,88.0,2.0,1.0,0.0,2.0,3.0,3.0,4.0,1.0,42.0,0.0,,1.0,1.0,1.0,,2.0,4.0,2.0,5.0,1.0,,2.0,2.0,1.0,,1.0,,2.0,2.0,1.0,,1.0,2.0,1.0,,1.0,1.0,501.0,9.0,1.0,2.0,63.5,2.0,5.0,8008.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,0.92625534534454346,0.92625534534454346,0.9576728343963623,1.0,2010.0,1.0
34,1.0,2245.0,3.0,,1.0,57.0,8.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1953.0,1.0,112420.0,1.0,1.0,419.0,1.0,8.0,1.0,15.0,25.0,25.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,6.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,35.0,3.0,12.0,24.0,,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,2190.0,1229.0,184.0,2.0,1.0,1.0,2.0,1.0,2.0,19.0,,,1.0,1.0,0.0,3.0,2.0,3.0,5.0,2.0,51.0,0.0,2.0,1.0,1.0,1.0,72520.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,2.0,3.0,6.0,1.0,3.0,1.0,1.0,501.0,9.0,2.0,2.0,63.5,1.0,4.0,8008.0,1.0,2.0,1.0,0.0,,,,1.0,0.0,1.0,52.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,1.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,2.0
35,2.0,2245.0,1.0,1.0,2.0,43.0,1.0,0.0,3.0,1.0,1.0,,0.0,3.0,1967.0,1.0,,1.0,,522.0,4.0,8.0,2.0,18.0,14.0,14.0,2.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,36.0,3.0,,,700.0,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,2190.0,1229.0,92.0,1.0,3.0,2.0,,2.0,3.0,19.0,42.0,34.0,2.0,1.0,0.0,3.0,,3.0,4.0,6.0,51.0,0.0,4.0,1.0,1.0,1.0,,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,,4.0,5.0,1.0,2.0,1.0,1.0,501.0,9.0,2.0,2.0,63.5,1.0,1.0,8008.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,52.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.92625534534454346,0.92625534534454346,0.9576728343963623,1.0,2010.0,5.0
36,2.0,2245.0,3.0,,1.0,84.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,1926.0,1.0,44165.0,1.0,,512.0,3.0,8.0,1.0,16.0,35.0,,3.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,37.0,3.0,12.0,19.0,871.0,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,1390.0,2359.0,93.0,3.0,1.0,2.0,2.0,,2.0,159.0,84.0,,1.0,1.0,1.0,0.0,1.0,3.0,2.0,6.0,46.0,0.0,4.0,1.0,1.0,1.0,28490.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,3.0,3.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,501.0,9.0,1.0,2.0,62.5,2.0,1.0,8008.0,1.0,2.0,1.0,0.0,1.0,4.0,,3.0,0.0,1.0,40.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,11.0
37,2.0,2245.0,1.0,1.0,2.0,53.0,4.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1957.0,1.0,112420.0,1.0,2.0,406.0,4.0,8.0,3.0,16.0,23.0,23.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,11.0,1.0,3.0,38.0,3.0,12.0,24.0,712.0,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,5200.0,5121.0,144.0,1.0,3.0,1.0,1.0,1.0,3.0,16.0,49.0,40.0,1.0,1.0,8.0,3.0,3.0,4.0,5.0,5.0,39.0,0.0,3.0,1.0,1.0,1.0,72520.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,6.0,1.0,2.0,1.0,1.0,501.0,9.0,2.0,2.0,53.700000762939453,1.0,1.0,8008.0,1.0,3.0,1.0,1.0,,,0.0,1.0,0.0,1.0,52.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.92625534534454346,0.92625534534454346,0.9576728343963623,1.0,2010.0,3.0
38,2.0,2245.0,2.0,,1.0,83.0,0.0,0.0,3.0,1.0,1.0,,1.0,3.0,1927.0,1.0,54202.5,1.0,2.0,327.0,1.0,8.0,0.0,13.0,23.0,,3.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,,2.0,4.0,2.0,,1.0,1.0,1.0,4.0,1.0,1.0,39.0,2.0,12.0,20.0,901.0,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,3990.0,4215.0,119.0,2.0,3.0,1.0,2.0,1.0,2.0,378.0,82.0,,2.0,1.0,0.0,0.0,1.0,3.0,2.0,6.0,24.0,0.0,4.0,1.0,1.0,1.0,34965.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,3.0,3.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,501.0,9.0,1.0,2.0,42.299999237060547,2.0,1.0,8008.0,1.0,3.0,1.0,0.0,2.0,4.0,,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,1.0,2.0,7.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,7.0
39,2.0,2245.0,1.0,1.0,2.0,69.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,3.0,1941.0,1.0,152927.23061,1.0,3.0,520.0,4.0,8.0,0.0,18.0,15.0,15.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,40.0,2.0,12.0,25.0,350.0,73.0,1.0,1.0,1.0,2.0,0.52328765392303467,,,91.0,1.0,1.0,1.0,1.0,1.0,2.0,,69.0,70.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,,0.0,4.0,1.0,1.0,1.0,119606.06531999999,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,501.0,9.0,1.0,2.0,,1.0,3.0,8008.0,1.0,2.0,1.0,0.0,,,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,2.0,2.0,5.0,0.92625534534454346,0.92625534534454346,0.9576728343963623,1.0,2010.0,5.0
40,1.0,2246.0,,,2.0,24.0,4.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,1986.0,1.0,15056.25,1.0,,513.0,3.0,8.0,1.0,17.0,11.0,11.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,,3.0,1.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,9.0,6.0,1.0,2.0,41.0,4.0,10.0,12.0,800.0,67.0,1.0,1.0,1.0,2.0,7.0,1730.0,2455.0,107.0,5.0,3.0,1.0,2.0,1.0,3.0,187.0,23.0,23.0,1.0,1.0,0.0,1.0,2.0,6.0,2.0,2.0,58.0,0.0,2.0,1.0,1.0,1.0,9712.5,2.0,4.0,2.0,4.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,3.0,13.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,8.0,1.0,501.0,9.0,2.0,1.0,72.5,1.0,3.0,8008.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,52.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,0.92625534534454346,0.92625534534454346,0.9576728343963623,1.0,2010.0,10.0
41,1.0,2246.0,5.0,5.0,2.0,33.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,1977.0,1.0,54202.5,2.0,,622.0,4.0,3.0,2.0,18.0,39.0,20.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,,1.0,2.0,3.0,4.0,2.0,,1.0,5.0,11.0,3.0,1.0,2.0,42.0,3.0,12.0,20.0,842.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,1330.0,2331.0,66.0,5.0,1.0,1.0,2.0,2.0,1.0,156.0,33.0,37.0,2.0,1.0,2.0,0.0,4.0,6.0,2.0,6.0,64.0,0.0,4.0,3.0,6.0,1.0,34965.0,2.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,1.0,13.0,1.0,13.0,4.0,1.0,4.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,501.0,9.0,2.0,2.0,78.5,1.0,3.0,8008.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,45.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.6841006278991699,1.6841006278991699,1.7412233352661133,1.0,2010.0,5.0
